Time,5 ZONE DOAS:DesPer 1:Des Heat Mass Flow [kg/s],5 ZONE DOAS:DesPer 1:Des Heat Cap [W],5 ZONE DOAS:DesPer 1:Des Cool Mass Flow [kg/s],5 ZONE DOAS:DesPer 1:Des Sens Cool Cap [W],5 ZONE DOAS:DesPer 1:Des Tot Cool Cap [W],5 ZONE DOAS:DesPer 2:Des Heat Mass Flow [kg/s],5 ZONE DOAS:DesPer 2:Des Heat Cap [W],5 ZONE DOAS:DesPer 2:Des Cool Mass Flow [kg/s],5 ZONE DOAS:DesPer 2:Des Sens Cool Cap [W],5 ZONE DOAS:DesPer 2:Des Tot Cool Cap [W],5 ZONE DOAS:DesPer 3:Des Heat Mass Flow [kg/s],5 ZONE DOAS:DesPer 3:Des Heat Cap [W],5 ZONE DOAS:DesPer 3:Des Cool Mass Flow [kg/s],5 ZONE DOAS:DesPer 3:Des Sens Cool Cap [W],5 ZONE DOAS:DesPer 3:Des Tot Cool Cap [W]
00:10:00,2.655603E-01,0.000000E+00,1.155258E+00,1.368370E+04,3.755313E+04,2.655603E-01,0.000000E+00,1.053786E+00,8.987406E+03,3.715895E+04,5.036393E-01,8.356047E+03,2.655603E-01,0.000000E+00,0.000000E+00
00:20:00,2.655603E-01,0.000000E+00,1.150731E+00,1.353874E+04,3.731141E+04,2.655603E-01,0.000000E+00,1.049572E+00,8.868149E+03,3.667719E+04,5.035824E-01,8.355102E+03,2.655603E-01,0.000000E+00,0.000000E+00
00:30:00,2.655603E-01,0.000000E+00,1.146313E+00,1.339575E+04,3.707394E+04,2.655603E-01,0.000000E+00,1.045459E+00,8.750405E+03,3.620270E+04,5.035259E-01,8.354165E+03,2.655603E-01,0.000000E+00,0.000000E+00
00:40:00,2.655603E-01,0.000000E+00,1.141997E+00,1.325466E+04,3.684049E+04,2.655603E-01,0.000000E+00,1.041442E+00,8.634103E+03,3.573520E+04,5.034698E-01,8.353235E+03,2.655603E-01,0.000000E+00,0.000000E+00
00:50:00,2.655603E-01,0.000000E+00,1.137779E+00,1.311538E+04,3.661091E+04,2.655603E-01,0.000000E+00,1.037513E+00,8.519173E+03,3.527436E+04,5.034141E-01,8.352311E+03,2.655603E-01,0.000000E+00,0.000000E+00
01:00:00,2.655603E-01,0.000000E+00,1.133655E+00,1.297785E+04,3.638503E+04,2.655603E-01,0.000000E+00,1.033669E+00,8.405548E+03,3.481990E+04,5.033589E-01,8.351394E+03,2.655603E-01,0.000000E+00,0.000000E+00
01:10:00,2.655603E-01,0.000000E+00,1.129675E+00,1.287250E+04,3.619540E+04,2.655603E-01,0.000000E+00,1.029953E+00,8.320822E+03,3.448028E+04,5.033628E-01,8.351459E+03,2.655603E-01,0.000000E+00,0.000000E+00
01:20:00,2.655603E-01,0.000000E+00,1.125799E+00,1.276876E+04,3.600956E+04,2.655603E-01,0.000000E+00,1.026323E+00,8.237183E+03,3.414554E+04,5.033666E-01,8.351523E+03,2.655603E-01,0.000000E+00,0.000000E+00
01:30:00,2.655603E-01,0.000000E+00,1.122026E+00,1.266658E+04,3.582736E+04,2.655603E-01,0.000000E+00,1.022777E+00,8.154597E+03,3.381557E+04,5.033705E-01,8.351586E+03,2.655603E-01,0.000000E+00,0.000000E+00
01:40:00,2.655603E-01,0.000000E+00,1.118351E+00,1.256592E+04,3.564876E+04,2.655603E-01,0.000000E+00,1.019316E+00,8.073059E+03,3.349033E+04,5.033743E-01,8.351650E+03,2.655603E-01,0.000000E+00,0.000000E+00
